1,"North region row count:	",2449,,,,,
2,Number of missing email,71,,,,,
3,Number of missing ship date,73,,,,,
4,Number of missing region,0,,,,,
5,Number of missing unit price,54,,,,,
,,,,,,,
,,,,,,,
,Missing Email,,,,,,
,Detection rule,email blank rate = 71/2449 = 2.8%,,,,,
,Evidence,order_id O006657 is one of the record with missing email,,,,,
,Business Check,Check for the missing email in the customer information table,,,,,
,Root cause,It looks like MAR or MCAR until it's being confirmed from the customer information table,,,,,
,Treatment,"Keep as it is, escalate to the relevant team",,,,,
,Caution,Do not randomly delete the records without email. ,,,,,
,Conclusion,The missing emails looks like they are missing at random in the order table. Check the customer information table to bbe sure the customer still exist,,,,,
,,,,,,,
,Missing Ship Date,,,,,,
,Detection rule,ship date missing rate = 73/2449 = 2.9%,,,,,
,Evidence,order_id O001100 is one of the record with missing ship date,,,,,
,Business check,Check if the orders are ready for shipment,,,,,
,Root cause,It looks like an event that has not happen yet,,,,,
,Treatment,Keep as null and flag it to be as valuse that would be completed soon,,,,,
,Caution,Only analyse with completed values,,,,,
,Conclusion,The missing ship date looks like they are mising at random. It looks like and event has to be completed before ship date can be filled up,,,,,
,,,,,,,
,Missing Unit Price,,,,,,
,Detection rule,unit_price rate = 54/2449 = 2.2%,,,,,
,Evidence,order_id O0077267 is one of the record with missing unit price,,,,,
,Business Check,This is not possible as an order must have a unit price.,,,,,
,Root cause,"Unknown value, its looks like MCAR",,,,,
,Treatment,Leave it as it is. Flag it and escalate to the relevant unit,,,,,
,Caution,"Do not randomly remove the missing values or treat them as 0. Also, do not use them in the calculation.",,,,,
,Conclusion,"The missing unit price could not be empty, escalate to the relevant unit and re-check or reoad the data",,,,,
,,,,,,,
,,,,,,,
,Duplicated Order ID,64,,,,,
,,,,,,,
,,,,,,,
,Outliers,,,,,,
,Q1 = (N+1) * 1/4,,,,,,
,Q2 = (N+1) * 2/4,,,,,,
,Q3 = (N+1) * 3/4,,,,,,
,,,,,,Quantity,UnitPrice
,Lower boundary = Q1 - (1.5 * IQR),,,,,-6,-48
,Upper boundary = Q3 + (1.5 * IQR),,,,,18,186
,IQR = (Q3 - Q1),,,,,,
,,Quantity,UnitPrice,,,,
,Q1 = (2449 + 1) * 1/4,,,,,,
,612.5,3,33,,,,
,,,,,,,
,Q2 = (2449 + 1) * 2/4,,,,,,
,1225,6,54,,,,
,,,,,,,
,Q3 = (2449 + 1) * 3/4,,,,,,
,1837.5,9,105,,,,
